"cust","prod","month","prev_avg","during_avg","next_avg"
"Boo","Apple",1,NULL,"578","461"
"Boo","Apple",2,"578","461","400"
"Boo","Apple",3,"461","400","669"
"Boo","Apple",4,"400","669","303"
"Boo","Apple",5,"669","303","427"
"Boo","Apple",6,"303","427","597"
"Boo","Apple",7,"427","597","580"
"Boo","Apple",8,"597","580","505"
"Boo","Apple",9,"580","505","435"
"Boo","Apple",10,"505","435","482"
"Boo","Apple",11,"435","482","497"
"Boo","Apple",12,"482","497",NULL
"Boo","Butter",1,NULL,"520","564"
"Boo","Butter",2,"520","564","674"
"Boo","Butter",3,"564","674","465"
"Boo","Butter",4,"674","465","375"
"Boo","Butter",5,"465","375","650"
"Boo","Butter",6,"375","650","492"
"Boo","Butter",7,"650","492","329"
"Boo","Butter",8,"492","329","489"
"Boo","Butter",9,"329","489","510"
"Boo","Butter",10,"489","510","545"
"Boo","Butter",11,"510","545","340"
"Boo","Butter",12,"545","340",NULL
"Boo","Cherry",1,NULL,"452","389"
"Boo","Cherry",2,"452","389","474"
"Boo","Cherry",3,"389","474","493"
"Boo","Cherry",4,"474","493","411"
"Boo","Cherry",5,"493","411","537"
"Boo","Cherry",6,"411","537","575"
"Boo","Cherry",7,"537","575","607"
"Boo","Cherry",8,"575","607","354"
"Boo","Cherry",9,"607","354","545"
"Boo","Cherry",10,"354","545","527"
"Boo","Cherry",11,"545","527","429"
"Boo","Cherry",12,"527","429",NULL
"Boo","Dates",1,NULL,"292","648"
"Boo","Dates",2,"292","648","508"
"Boo","Dates",3,"648","508","439"
"Boo","Dates",4,"508","439","527"
"Boo","Dates",5,"439","527","420"
"Boo","Dates",6,"527","420","384"
"Boo","Dates",7,"420","384","841"
"Boo","Dates",8,"384","841","358"
"Boo","Dates",9,"841","358","372"
"Boo","Dates",10,"358","372","439"
"Boo","Dates",11,"372","439","442"
"Boo","Dates",12,"439","442",NULL
"Boo","Eggs",1,NULL,"482","532"
"Boo","Eggs",2,"482","532","517"
"Boo","Eggs",3,"532","517","580"
"Boo","Eggs",4,"517","580","615"
"Boo","Eggs",5,"580","615","644"
"Boo","Eggs",6,"615","644","510"
"Boo","Eggs",7,"644","510","491"
"Boo","Eggs",8,"510","491","358"
"Boo","Eggs",9,"491","358","400"
"Boo","Eggs",10,"358","400","480"
"Boo","Eggs",11,"400","480","551"
"Boo","Eggs",12,"480","551",NULL
"Boo","Fish",1,NULL,"480","365"
"Boo","Fish",2,"480","365","482"
"Boo","Fish",3,"365","482","527"
"Boo","Fish",4,"482","527","452"
"Boo","Fish",5,"527","452","589"
"Boo","Fish",6,"452","589","478"
"Boo","Fish",7,"589","478","472"
"Boo","Fish",8,"478","472","396"
"Boo","Fish",9,"472","396","401"
"Boo","Fish",10,"396","401","690"
"Boo","Fish",11,"401","690","512"
"Boo","Fish",12,"690","512",NULL
"Boo","Grapes",1,NULL,"544","289"
"Boo","Grapes",2,"544","289","640"
"Boo","Grapes",3,"289","640","504"
"Boo","Grapes",4,"640","504","660"
"Boo","Grapes",5,"504","660","425"
"Boo","Grapes",6,"660","425","420"
"Boo","Grapes",7,"425","420","447"
"Boo","Grapes",8,"420","447","434"
"Boo","Grapes",9,"447","434","438"
"Boo","Grapes",10,"434","438","335"
"Boo","Grapes",11,"438","335","551"
"Boo","Grapes",12,"335","551",NULL
"Boo","Ham",1,NULL,"636","362"
"Boo","Ham",2,"636","362","593"
"Boo","Ham",3,"362","593","568"
"Boo","Ham",4,"593","568","438"
"Boo","Ham",5,"568","438","598"
"Boo","Ham",6,"438","598","413"
"Boo","Ham",7,"598","413","553"
"Boo","Ham",8,"413","553","472"
"Boo","Ham",9,"553","472","541"
"Boo","Ham",10,"472","541","622"
"Boo","Ham",11,"541","622","546"
"Boo","Ham",12,"622","546",NULL
"Boo","Ice",1,NULL,"442","571"
"Boo","Ice",2,"442","571","409"
"Boo","Ice",3,"571","409","406"
"Boo","Ice",4,"409","406","526"
"Boo","Ice",5,"406","526","522"
"Boo","Ice",6,"526","522","531"
"Boo","Ice",7,"522","531","357"
"Boo","Ice",8,"531","357","550"
"Boo","Ice",9,"357","550","357"
"Boo","Ice",10,"550","357","504"
"Boo","Ice",11,"357","504","361"
"Boo","Ice",12,"504","361",NULL
"Boo","Jelly",1,NULL,"549","445"
"Boo","Jelly",2,"549","445","489"
"Boo","Jelly",3,"445","489","669"
"Boo","Jelly",4,"489","669","486"
"Boo","Jelly",5,"669","486","437"
"Boo","Jelly",6,"486","437","349"
"Boo","Jelly",7,"437","349","560"
"Boo","Jelly",8,"349","560","374"
"Boo","Jelly",9,"560","374","429"
"Boo","Jelly",10,"374","429","443"
"Boo","Jelly",11,"429","443","484"
"Boo","Jelly",12,"443","484",NULL
"Chae","Apple",1,NULL,"579","454"
"Chae","Apple",2,"579","454","457"
